timestamp,empty,crossed,best_bid,best_ask,spread_bps,ask_levels,bid_levels,ask_depth_quote_1,bid_depth_quote_1,book_imbalance_1,ask_depth_quote_5,bid_depth_quote_5,book_imbalance_5,ask_depth_quote_10,bid_depth_quote_10,book_imbalance_10
2024-04-08 00:00:00.006000+00:00,False,False,0.5889,0.589,1.6979370065368706,400,400,11.319755399999998,6298.48537266,0.9964120110937625,16431.85541689,26565.10386949,0.23567360624521821,37370.62288268,64051.19616838,0.26306541861833377
2024-04-08 00:01:00.016000+00:00,False,False,0.5879,0.588,1.7008249000763498,400,400,4486.8815292,6.63233506,-0.9970480406824819,30227.1236737,17437.40633726,-0.2683277760947004,61381.084052059996,69698.36519627999,0.06345221308080319
2024-04-08 00:02:00.116000+00:00,False,False,0.5875,0.5876,1.7019828099734315,400,400,2619.74185512,3498.63693625,0.1436483603090553,22699.74294036,34040.95605516,0.19987792388132994,66639.4106042,88382.02029266,0.14025550894912037
2024-04-08 00:03:00.156000+00:00,False,False,0.5874,0.5875,1.7022725338324791,400,400,4518.9018912500005,187.04554704,-0.9205067419503662,25457.35221266,24837.18499401,-0.012330707331128482,71135.92914869,77107.40907509,0.040281607240831185
2024-04-08 00:04:00.036000+00:00,False,False,0.5871,0.5873,3.4059945504102354,400,400,5175.939679190001,4114.80518676,-0.11421414620037545,18140.15064748,34304.34781275,0.3082153064639892,78332.94127689,93563.35864413,0.08860235720162575
2024-04-08 00:05:00.056000+00:00,False,False,0.587,0.5871,1.7034324163186951,400,400,11.289933,3352.9988845,0.9932883687385736,21409.591054340002,30846.96882541,0.18059699667920712,76738.03916956,77174.53419758,0.002835993307569438
2024-04-08 00:06:00.026000+00:00,False,False,0.5861,0.5862,1.7060479399488189,400,400,4279.64079552,116.09767710999999,-0.9471771681446106,29581.83816709,27885.978199859997,-0.02950973387263242,68995.00882313,92409.8109943,0.14506879161139802
2024-04-08 00:07:00.056000+00:00,False,False,0.5863,0.5864,1.7054660185893917,400,400,674.6003653600001,3189.5506228300005,0.6508416118201488,19819.73149843,29907.11098935,0.2028558216500253,76725.6138412,86473.35499081,0.0597291834585297
2024-04-08 00:08:00.006000+00:00,False,False,0.5869,0.587,1.7037226339550047,400,400,675.2906113,2714.4742418799997,0.6015708224324188,22942.97574969,35095.12322317,0.20938224525862975,64458.06199176,88618.29930676,0.15783127525408194
2024-04-08 00:09:00.056000+00:00,False,False,0.587,0.5872,3.406574689151576,400,400,3012.8245504000006,4888.887671699999,0.2374248857169094,25122.205666690003,35090.91651804,0.16555711595167963,86013.4168263,83142.0064121,-0.016974982883954975
2024-04-08 00:10:00.116000+00:00,False,False,0.5865,0.5866,1.7048844940753387,400,400,11.324547639999999,3061.11692805,0.9926283070127759,19401.95638845,28231.35341271,0.18536182056458697,65486.929423780006,81449.82887771,0.10863789046697732
2024-04-08 00:11:00.066000+00:00,False,False,0.5862,0.5863,1.7057569296373385,400,400,1852.09068473,586.2,-0.5191713574832347,39840.46052534,21964.752685239997,-0.2892265378843477,85534.50770168,52901.13212353,-0.23572958249301393
2024-04-08 00:12:00.096000+00:00,False,False,0.5868,0.5869,1.7040129504982362,400,400,11.318777329999998,4149.28633068,0.9945590715599475,28346.196922500003,31640.68067116,0.05492007386975899,71440.44552627,74643.31169771,0.021924861684172476
2024-04-08 00:13:00.006000+00:00,False,False,0.5871,0.5872,1.7031422975406625,400,400,11.324563040000001,1908.0749999999998,0.9881998899467668,29896.270492130003,24559.68391484,-0.09799821957774658,83294.68450151,69159.77026853,-0.09271565238484429
