date,symbol,available,filename,size_mb,url
2025-10-08,DOGE-USDT,True,DOGE-USDT-L2orderbook-400lv-2025-10-08.tar.gz,291.97,https://static.okx.com/cdn/okx/match/orderbook/L2/400lv/daily/20251008/DOGE-USDT-L2orderbook-400lv-2025-10-08.tar.gz
2025-10-08,ADA-USDT,True,ADA-USDT-L2orderbook-400lv-2025-10-08.tar.gz,81.96,https://static.okx.com/cdn/okx/match/orderbook/L2/400lv/daily/20251008/ADA-USDT-L2orderbook-400lv-2025-10-08.tar.gz
2025-10-08,AVAX-USDT,True,AVAX-USDT-L2orderbook-400lv-2025-10-08.tar.gz,135.95,https://static.okx.com/cdn/okx/match/orderbook/L2/400lv/daily/20251008/AVAX-USDT-L2orderbook-400lv-2025-10-08.tar.gz
2026-04-07,BTC-USDT,True,BTC-USDT-L2orderbook-400lv-2026-04-07.tar.gz,229.39,https://static.okx.com/cdn/okx/match/orderbook/L2/400lv/daily/20260407/BTC-USDT-L2orderbook-400lv-2026-04-07.tar.gz
2026-04-07,ETH-USDT,True,ETH-USDT-L2orderbook-400lv-2026-04-07.tar.gz,183.53,https://static.okx.com/cdn/okx/match/orderbook/L2/400lv/daily/20260407/ETH-USDT-L2orderbook-400lv-2026-04-07.tar.gz
2026-04-07,XRP-USDT,True,XRP-USDT-L2orderbook-400lv-2026-04-07.tar.gz,63.17,https://static.okx.com/cdn/okx/match/orderbook/L2/400lv/daily/20260407/XRP-USDT-L2orderbook-400lv-2026-04-07.tar.gz
2026-04-07,SOL-USDT,True,SOL-USDT-L2orderbook-400lv-2026-04-07.tar.gz,67.13,https://static.okx.com/cdn/okx/match/orderbook/L2/400lv/daily/20260407/SOL-USDT-L2orderbook-400lv-2026-04-07.tar.gz
2026-04-07,DOGE-USDT,True,DOGE-USDT-L2orderbook-400lv-2026-04-07.tar.gz,69.88,https://static.okx.com/cdn/okx/match/orderbook/L2/400lv/daily/20260407/DOGE-USDT-L2orderbook-400lv-2026-04-07.tar.gz
2026-04-07,ADA-USDT,True,ADA-USDT-L2orderbook-400lv-2026-04-07.tar.gz,29.71,https://static.okx.com/cdn/okx/match/orderbook/L2/400lv/daily/20260407/ADA-USDT-L2orderbook-400lv-2026-04-07.tar.gz
2026-04-07,AVAX-USDT,True,AVAX-USDT-L2orderbook-400lv-2026-04-07.tar.gz,57.83,https://static.okx.com/cdn/okx/match/orderbook/L2/400lv/daily/20260407/AVAX-USDT-L2orderbook-400lv-2026-04-07.tar.gz
