horizon_minutes,repetitions,mean_beta_difference,ci_lower_95,ci_upper_95,one_sided_p_value
15,499,0.016695079084172997,0.00040691970544297216,0.035442960089602474,0.026
30,499,0.017499518845912873,-8.95071500294945e-05,0.03479884475162179,0.028
60,499,0.01491450213399198,-0.001991373714818332,0.030833913474450737,0.056
