direction,horizon_minutes,observations,standardized_beta,standard_error_hac,t_stat_hac,p_value_hac,ci_lower_95,ci_upper_95,first_half_beta,second_half_beta,q_value_bh_fdr
major_to_alt,15,35039,0.014421754904227839,0.006144669495788801,2.3470350869337513,0.018923472683163488,0.0023784239955798956,0.02646508581287578,0.027515758644985108,0.0028459029154432325,0.037846945366326976
alt_to_major,15,35039,-0.0028281644483674,0.006503557823748385,-0.434864196646346,0.6636610040066007,-0.015574903554287926,0.009918574657553126,-0.02131993860913639,0.012926257876079466,0.6636610040066007
major_to_alt,30,35038,-0.0030356284756950457,0.006336445216882909,-0.4790743661141229,0.63188572508932,-0.01545483289079664,0.009383575939406547,-0.005772587444188806,-0.0007314547054216997,0.6636610040066007
alt_to_major,30,35038,-0.02085393107383885,0.00725100208516727,-2.8760067682917763,0.004027410759214996,-0.03506563401259154,-0.006642228135086168,-0.0267153005594382,-0.016359166029134536,0.012082232277644989
major_to_alt,60,35036,-0.0068653952607766675,0.006637906325671781,-1.0342711879233795,0.30100940235569895,-0.01987545259184396,0.006144662070290626,-0.002451999979646534,-0.011101666692034606,0.4515141035335484
alt_to_major,60,35036,-0.021628797801969454,0.006299402928017957,-3.433467909438004,0.0005959127394441195,-0.033975400664990815,-0.009282194938948097,-0.03172965345599035,-0.013029840959439296,0.003575476436664717
