symbol,development_rows,oos_rows,development_r_squared,development_residual_center,development_residual_scale,oos_residual_z_mean,oos_residual_z_std
BTCUSDT,35040,35040,0.21940312687607444,3.943025510361871e-14,0.18119520506610995,-0.003903422112865362,1.2465461114782308
ETHUSDT,35040,35040,0.1812284329924525,1.1022943085954134e-13,0.17168971419234258,-0.036162119454979186,1.115921244560892
XRPUSDT,35040,35040,0.12691658107754789,-5.524743524157289e-14,0.16918895226194577,0.057716322712536794,1.152030414849959
SOLUSDT,35040,35040,0.21569207374347432,1.0976121077481815e-13,0.16423796574379676,-0.036698123943248354,1.2509842940225113
DOGEUSDT,35040,35040,0.12792735995193827,5.142877498801515e-14,0.18230365297600207,0.028622391994208622,1.1965540283591292
ADAUSDT,35040,35040,0.1284382120429366,-1.1182303180835833e-14,0.2059520685401136,-0.007194825409335472,1.0696753289624394
AVAXUSDT,35040,35040,0.18980259724062687,1.4443289284003607e-13,0.20750775501577362,0.07374201257943822,1.1613064216918352
