sample_split,rows,timestamps,days,symbols,start,end
development,37597,5371,56,7,2025-10-08 00:15:00+00:00,2025-12-06 23:45:00+00:00
oos,78603,11229,117,7,2025-12-07 00:00:00+00:00,2026-04-05 23:45:00+00:00
