symbol,intercept,common_spread_beta,common_depth_depletion_beta,common_abs_imbalance_beta,development_rows
BTC-USDT,0.07290383037943966,0.02301864039367334,-0.03730079723122343,0.008980176392979019,5371
ETH-USDT,0.045034328137306526,0.05810929882061616,-0.012118863060614979,-0.010928800995416165,5371
XRP-USDT,0.09831188501912684,0.004016673843063008,-0.009519259373027139,-0.003608932131779215,5371
SOL-USDT,9.095227242188438e-07,0.018851057975088986,0.006165185425139441,0.019899670464803856,5371
DOGE-USDT,0.07319503052603027,0.02723680107785672,-0.01780966603272656,0.004867998135810149,5371
ADA-USDT,-0.0013455176085001863,0.00022127203674588732,-0.0011655404224661995,0.0007470120182526864,5371
AVAX-USDT,0.13871095616183401,0.10079170124377923,-0.005562925797007844,0.001470467557938872,5371
