bucket_start,sample_split,common_flow,liquidity_stress,extreme_flow_event,liquidity_stress_event,overlap_event
2025-12-07 00:00:00+00:00,oos,0.6055424512103411,0.6353185004175362,False,False,False
2025-12-07 00:15:00+00:00,oos,0.7017758770948364,0.3170008965365078,False,False,False
2025-12-07 00:30:00+00:00,oos,1.8430635387050234,0.9869473607780155,True,False,False
2025-12-07 00:45:00+00:00,oos,0.2608590073017376,1.1051190349079136,False,False,False
2025-12-07 01:00:00+00:00,oos,-0.3596244385350958,0.8980569049213469,False,False,False
2025-12-07 01:15:00+00:00,oos,-0.18739190016507665,0.5324296456681819,False,False,False
2025-12-07 01:30:00+00:00,oos,1.3304004467244839,-0.1394130183189836,False,False,False
2025-12-07 01:45:00+00:00,oos,-1.2880186971828265,0.1991525050307978,False,False,False
2025-12-07 02:00:00+00:00,oos,0.7040380009084597,-0.23634899838113624,False,False,False
2025-12-07 02:15:00+00:00,oos,1.7817634016369455,-0.045331097389257766,True,False,False
2025-12-07 02:30:00+00:00,oos,-0.04223549731790247,-0.6239062169071218,False,False,False
2025-12-07 02:45:00+00:00,oos,1.512437282259731,0.12607129591666957,False,False,False
2025-12-07 03:00:00+00:00,oos,0.22929823497952195,-0.5525120069104164,False,False,False
2025-12-07 03:15:00+00:00,oos,-1.210447008225866,-0.3670351467351941,False,False,False
2025-12-07 03:30:00+00:00,oos,1.22841667684889,0.16020311880608404,False,False,False
2025-12-07 03:45:00+00:00,oos,1.696285193248177,0.4199884404910125,True,False,False
2025-12-07 04:00:00+00:00,oos,-0.6832986855702374,-0.36359637978309917,False,False,False
2025-12-07 04:15:00+00:00,oos,-0.87337473898009,-0.2929736343222305,False,False,False
2025-12-07 04:30:00+00:00,oos,-0.23601068134974407,0.07658300864531413,False,False,False
2025-12-07 04:45:00+00:00,oos,-0.2463744819085276,-0.00028304557513627546,False,False,False
2025-12-07 05:00:00+00:00,oos,-0.049317662644823276,0.789774870086636,False,False,False
2025-12-07 05:15:00+00:00,oos,0.8721477354382419,0.6153871506515212,False,False,False
2025-12-07 05:30:00+00:00,oos,2.235683306528899,0.7759485746827469,True,False,False
2025-12-07 05:45:00+00:00,oos,-1.5868371759666275,0.2175971671159775,True,False,False
2025-12-07 06:00:00+00:00,oos,2.0233667437486544,0.39967608161268625,True,False,False
2025-12-07 06:15:00+00:00,oos,0.8558984406480228,0.8593455636760017,False,False,False
2025-12-07 06:30:00+00:00,oos,0.5988881994894021,-0.669961543198618,False,False,False
2025-12-07 06:45:00+00:00,oos,-1.220328477486858,-0.010988467242603633,False,False,False
2025-12-07 07:00:00+00:00,oos,-0.08411593355568228,0.6119069178724752,False,False,False
2025-12-07 07:15:00+00:00,oos,-0.7450120236909366,-0.10773593459277292,False,False,False
2025-12-07 07:30:00+00:00,oos,0.14159836753431965,-0.20546501486493304,False,False,False
2025-12-07 07:45:00+00:00,oos,0.8453724774710492,-0.2211221967850022,False,False,False
2025-12-07 08:00:00+00:00,oos,0.37277803790539477,-0.04299943691331945,False,False,False
2025-12-07 08:15:00+00:00,oos,0.3521463685428271,-1.1544682859458095,False,False,False
2025-12-07 08:30:00+00:00,oos,-0.16057587142828353,-0.0821245727462551,False,False,False
2025-12-07 08:45:00+00:00,oos,-0.4266055433963101,-0.04740775225825293,False,False,False
2025-12-07 09:00:00+00:00,oos,0.561630666673196,-0.5436594714074157,False,False,False
2025-12-07 09:15:00+00:00,oos,-0.6472630393354316,-0.016255660595764342,False,False,False
2025-12-07 09:30:00+00:00,oos,0.4225587218279873,0.08655738416336707,False,False,False
2025-12-07 09:45:00+00:00,oos,-1.8671361100725987,0.0554031729381415,True,False,False
2025-12-07 10:00:00+00:00,oos,0.42658050822074584,-0.21056894262678286,False,False,False
2025-12-07 10:15:00+00:00,oos,-1.3574677705770093,0.49893071012121026,False,False,False
2025-12-07 10:30:00+00:00,oos,-1.1811534104299979,1.3746523133710675,False,True,False
2025-12-07 10:45:00+00:00,oos,-1.2515088987962932,0.1187317980141332,False,False,False
2025-12-07 11:00:00+00:00,oos,-0.7003584373431971,0.16013517062767144,False,False,False
2025-12-07 11:15:00+00:00,oos,-0.9876161794016375,-0.6001798198501883,False,False,False
2025-12-07 11:30:00+00:00,oos,-0.4107499108007957,0.2167382757771146,False,False,False
