horizon_minutes,event_count,mean_net_return,median_net_return,bootstrap_p_value,q_value
1,8870,-0.0010720178391552145,-0.0010680583178997775,1.0,1.0
5,8937,-0.001060255556122662,-0.0010555565951163074,1.0,1.0
15,8918,-0.001051772766744594,-0.001041107090150086,1.0,1.0
30,8906,-0.0010446402694337313,-0.0010329813191056656,1.0,1.0
