metric,observed,null_mean,null_95th_percentile,p_value_one_sided,event_count,effect_excess,effect_ratio,q_value_bh_fdr
mean_same_asset_correlation,0.2766867482298892,0.0009687691195796419,0.004642816025857855,0.002,,0.27571797911030954,285.6064903781679,0.002
extreme_direction_concordance,0.871937212863706,0.5034013337706431,0.5154702096919244,0.002,5224.0,0.36853587909306285,1.7320915825403298,0.002
