venue,rows,timestamps,symbols,start,end,complete_intersection
binance,490560,70080,7,2024-04-08 00:00:00+00:00,2026-04-07 23:45:00+00:00,True
okx,490560,70080,7,2024-04-08 00:00:00+00:00,2026-04-07 23:45:00+00:00,True
