direction,horizon_minutes,standardized_beta,t_stat,p_value,observations,first_half_beta,second_half_beta,q_value_bh_fdr
binance_to_okx,15,-0.013757703385406122,-2.094293182521071,0.03623387127735377,34675,-0.01794594103578105,-0.005316124494003904,0.03623387127735377
okx_to_binance,15,-0.03774206381073743,-4.004043445856845,6.226892124544661e-05,34675,-0.01013123849931015,-0.06326050407045358,0.00011422621312583442
binance_to_okx,30,-0.02812657301095397,-3.956201899247786,7.615080875055628e-05,34310,-0.03667843983774669,-0.01685212751874912,0.00011422621312583442
okx_to_binance,30,-0.05134235327099795,-7.00692732216643,2.4360872442421e-12,34310,-0.043986480304862526,-0.06030703399126603,1.4616523465452598e-11
binance_to_okx,60,-0.021902724861100183,-3.1367656670954127,0.0017082259718363645,33580,-0.025356803096686868,-0.015036193094197733,0.002049871166203637
okx_to_binance,60,-0.03973689452632246,-5.322238393271579,1.0249812603727222e-07,33580,-0.02537067043802064,-0.055028935572987624,3.0749437811181667e-07
