draw,beta_binance_to_okx,beta_okx_to_binance,beta_difference_bo_minus_ob
1,-0.008650858808220014,-0.03462387468168849,0.025973015873468473
2,-0.01779063650243848,-0.03955716161349717,0.021766525111058692
3,-0.001974154340788297,-0.03515024697992065,0.03317609263913235
4,-0.01869766233325633,-0.049961804639873965,0.031264142306617636
5,-0.006542561908996804,-0.04133423747831131,0.034791675569314506
6,-0.01508158476939158,-0.044848928782295676,0.029767344012904096
7,-0.01998047842931525,-0.03918696094123028,0.01920648251191503
8,-0.027134685771090575,-0.04890328541373185,0.021768599642641277
9,-0.018305800091932684,-0.03662258606373597,0.018316785971803282
10,-0.01820774563640893,-0.02929121199597566,0.01108346635956673
11,-0.01554836735114772,-0.01820391107356689,0.0026555437224191677
12,-0.0016449378358815618,-0.04428951577081113,0.04264457793492957
13,-0.004686348856398185,-0.03443630191818537,0.029749953061787186
14,-0.011514916835126213,-0.028658163005520907,0.017143246170394692
15,-0.013122314990755295,-0.030715266368381667,0.01759295137762637
16,-0.017126856867089424,-0.050111083912306294,0.03298422704521687
17,-0.009086485058767448,-0.028742620405106795,0.019656135346339348
18,-0.014844737375992468,-0.05853496421459388,0.04369022683860141
19,-0.005071804014591735,-0.033377746247321524,0.028305942232729787
20,-0.008074595896908522,-0.040490707658046174,0.03241611176113765
21,-0.01422238151397105,-0.03171512061941105,0.017492739105439997
22,-0.010480017361285406,-0.04211304467892732,0.031633027317641914
23,-0.0115598268523248,-0.04402515951407067,0.032465332661745866
24,-0.02000870701187309,-0.03199223059505939,0.011983523583186297
25,-0.011141389089728832,-0.04902441225100278,0.03788302316127395
26,0.0029940556673438714,-0.018295362885056298,0.021289418552400168
27,-0.00752632962305771,-0.04213212819844973,0.03460579857539202
28,-0.026722663266005205,-0.024436451724923442,-0.0022862115410817625
29,-0.026402338489596576,-0.047545742120678906,0.02114340363108233
30,-0.012943571183240138,-0.03948695882286021,0.026543387639620074
31,-0.012843332925943099,-0.03727593616282514,0.02443260323688204
32,-0.02363964401912334,-0.046591880201870745,0.022952236182747405
33,-0.011439187541730966,-0.03868526213394214,0.027246074592211175
34,-0.009254704215375009,-0.02965363160170856,0.020398927386333553
