source_rows_per_15m_bucket,bucket_asset_rows,share
1,10,2.8539220023116767e-05
2,25,7.134805005779192e-05
3,350346,0.9998601578218868
4,8,2.2831376018493413e-05
5,1,2.8539220023116767e-06
6,1,2.8539220023116767e-06
7,3,8.56176600693503e-06
8,1,2.8539220023116767e-06
