test,observations,estimate,standard_error,test_statistic,p_value,event_count,q_value_bh_fdr,development_extreme_threshold,aggregation
spot_to_futures_flow_regression,35038,0.372175934938891,0.0133289578360846,27.922358185523212,1.428335765084094e-171,,1.428335765084094e-171,1.9674847106132736,mean_primary
extreme_event_direction_concordance,3164,0.7762326169405815,,,2.774755518349604e-224,3164.0,5.549511036699208e-224,1.9674847106132736,mean_primary
spot_to_futures_flow_regression,35038,0.28003126493527347,0.009857467873364275,28.408032218085335,1.60916531820272e-177,,3.21833063640544e-177,1.9674847106132738,last_sensitivity
extreme_event_direction_concordance,3164,0.7164981036662452,,,1.7420543699009662e-135,3164.0,1.7420543699009662e-135,1.9674847106132738,last_sensitivity
