direction,horizon_minutes,model,term,coefficient
flow_to_liquidity,15,augmented,weekday_4,-0.007260592608756967
flow_to_liquidity,15,augmented,weekday_5,-0.03565493493378508
flow_to_liquidity,15,augmented,weekday_6,-0.014778547646033768
flow_to_liquidity,30,baseline,intercept,0.055821422106533784
flow_to_liquidity,30,baseline,current_liquidity_stress,0.3358998200497784
flow_to_liquidity,30,baseline,utc_sin,-0.0675456945093329
flow_to_liquidity,30,baseline,utc_cos,0.02268576687665587
flow_to_liquidity,30,baseline,weekday_1,-0.03934010890332891
flow_to_liquidity,30,baseline,weekday_2,-0.1325445784158163
flow_to_liquidity,30,baseline,weekday_3,-0.1574512647085651
flow_to_liquidity,30,baseline,weekday_4,0.001525797797607766
flow_to_liquidity,30,baseline,weekday_5,-0.02515654309848941
flow_to_liquidity,30,baseline,weekday_6,-0.0033705844800860658
flow_to_liquidity,30,augmented,intercept,0.04364865542570761
flow_to_liquidity,30,augmented,current_liquidity_stress,0.33499158589792366
flow_to_liquidity,30,augmented,current_absolute_common_flow,0.01795503155005701
flow_to_liquidity,30,augmented,utc_sin,-0.06870121595339992
flow_to_liquidity,30,augmented,utc_cos,0.021933359784439173
flow_to_liquidity,30,augmented,weekday_1,-0.039630128998803124
flow_to_liquidity,30,augmented,weekday_2,-0.13351361134823728
flow_to_liquidity,30,augmented,weekday_3,-0.1586593589802829
flow_to_liquidity,30,augmented,weekday_4,3.8908336649125215e-06
flow_to_liquidity,30,augmented,weekday_5,-0.028375799033833332
flow_to_liquidity,30,augmented,weekday_6,-0.006224101240907346
flow_to_liquidity,60,baseline,intercept,0.06035791321969771
flow_to_liquidity,60,baseline,current_liquidity_stress,0.28703222406017787
flow_to_liquidity,60,baseline,utc_sin,-0.07635001548828077
flow_to_liquidity,60,baseline,utc_cos,0.01357670028989421
flow_to_liquidity,60,baseline,weekday_1,-0.04434080703840106
flow_to_liquidity,60,baseline,weekday_2,-0.1528992634362066
flow_to_liquidity,60,baseline,weekday_3,-0.16144237680581985
flow_to_liquidity,60,baseline,weekday_4,0.0056839986773893686
flow_to_liquidity,60,baseline,weekday_5,-0.0221399719841823
flow_to_liquidity,60,baseline,weekday_6,-0.005056851334541464
flow_to_liquidity,60,augmented,intercept,0.06553846752057063
flow_to_liquidity,60,augmented,current_liquidity_stress,0.2874222609655716
flow_to_liquidity,60,augmented,current_absolute_common_flow,-0.007650437900808666
flow_to_liquidity,60,augmented,utc_sin,-0.07585646550672334
flow_to_liquidity,60,augmented,utc_cos,0.013892864858061352
flow_to_liquidity,60,augmented,weekday_1,-0.04421115148331287
flow_to_liquidity,60,augmented,weekday_2,-0.1524799181639084
flow_to_liquidity,60,augmented,weekday_3,-0.16092799565310165
flow_to_liquidity,60,augmented,weekday_4,0.006336952025766943
flow_to_liquidity,60,augmented,weekday_5,-0.02076543065989522
flow_to_liquidity,60,augmented,weekday_6,-0.003832908475040808
