sample_split,timestamps,utc_days,start,end
development,5371,56,2025-10-08 00:15:00+00:00,2025-12-06 23:45:00+00:00
oos,11229,117,2025-12-07 00:00:00+00:00,2026-04-05 23:45:00+00:00
